,movie name,movie genre,movie date,movie_runtime,movie director,Url
170,"The Mystery of Marilyn Monroe: The Unheard Tapes
(2022)",Documentary,04/27/2022,1h 41m,Emma Cooper,https://www.themoviedb.org//movie/953300
171,"Hacksaw Ridge
(2016)","Drama, History, War",10/07/2016,2h 19m,Mel Gibson,https://www.themoviedb.org//movie/324786
172,"After Ever Happy
(2022)",Romance,08/25/2022,1h 59m,Castille Landon,https://www.themoviedb.org//movie/744276
173,"The Help
(2011)",Drama,11/25/2011,2h 26m,Tate Taylor,https://www.themoviedb.org//movie/50014
174,"Harry Potter and the Goblet of Fire
(2005)","Adventure, Fantasy, Family",11/18/2005,2h 37m,Mike Newell,https://www.themoviedb.org//movie/674
175,"The Whole Truth
(2021)",Horror,12/02/2021,2h 5m,Wisit Sasanatieng,https://www.themoviedb.org//movie/895001
176,"Boruto: Naruto the Movie
(2015)","Animation, Action, Comedy",08/07/2015,1h 35m,Masashi Kishimoto,https://www.themoviedb.org//movie/347201
177,"Don't Breathe 2
(2021)","Thriller, Horror",09/17/2021,1h 38m,Rodo Sayagues,https://www.themoviedb.org//movie/482373
178,"¿Y cómo es él?
(2022)",Comedy,04/07/2022,1h 35m,Ariel Winograd,https://www.themoviedb.org//movie/671318
179,"The Wonderful Winter of Mickey Mouse
(2022)","Animation, Comedy",02/18/2022,24m,William Reiss,https://www.themoviedb.org//movie/939336
180,"Coco
(2017)","Family, Animation, Fantasy, Music, Comedy, Adventure",11/24/2017,1h 45m,Lee Unkrich,https://www.themoviedb.org//movie/354912
181,"Dragon Ball Z: Battle of Gods
(2013)","Animation, Action, Science Fiction",03/30/2013,1h 25m,Akira Toriyama,https://www.themoviedb.org//movie/126963
182,"Monster Hunter
(2020)","Action, Fantasy, Adventure",12/18/2020,1h 44m,Paul W. S. Anderson,https://www.themoviedb.org//movie/458576
183,"Undisputed III: Redemption
(2010)","Action, Thriller",05/22/2010,1h 36m,Isaac Florentine,https://www.themoviedb.org//movie/38234
184,"After We Collided
(2020)","Romance, Drama",09/02/2020,1h 45m,Roger Kumble,https://www.themoviedb.org//movie/613504
185,"Far From the Tree
(2021)","Animation, Family",11/24/2021,7m,Natalie Nourigat,https://www.themoviedb.org//movie/831827
186,"Love Like the Falling Petals
(2022)","Romance, Drama",03/24/2022,2h 8m,Yoshihiro Fukagawa,https://www.themoviedb.org//movie/890322
187,"Riverdance: The Animated Adventure
(2021)","Animation, Fantasy, Music, Adventure, Comedy, Family",01/14/2022,1h 26m,Dave Rosenbaum,https://www.themoviedb.org//movie/756403
188,"Wonder Woman 1984
(2020)","Action, Adventure, Fantasy",12/25/2020,2h 31m,Patty Jenkins,https://www.themoviedb.org//movie/464052
189,"Halloween Kills
(2021)","Horror, Thriller",10/15/2021,1h 45m,David Gordon Green,https://www.themoviedb.org//movie/610253
190,"The Privilege
(2022)",Horror,02/09/2022,1h 47m,Felix Fuchssteiner,https://www.themoviedb.org//movie/926980
191,"Top Gun: Maverick
(2022)","Action, Drama",05/27/2022,2h 11m,Jim Cash,https://www.themoviedb.org//movie/361743
192,"Pretty Guardian Sailor Moon Eternal The Movie Part 2
(2021)","Animation, Action, Adventure, Comedy, Drama, Fantasy, Romance",02/11/2021,1h 20m,Naoko Takeuchi,https://www.themoviedb.org//movie/784500
